action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,131,2,,,,,Asian,,,,,2,Female,0,2016,0106.00,2,Not Hispanic or Latino,2,,,,,Asian,,,,,1,Male,81,Queens County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),11-3073502,0000559,36,NY,New York,72600,502,653,354,95.44999694824219,3427,,88.91000366210938
1,Loan originated,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,42,5,,,,,White,,,,,1,Male,0,2016,0124.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,55,Monroe County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,16-1237621,0001709,36,NY,New York,68100,130,2083,2043,4.659999847412109,6135,,192.86000061035156
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,125,5,,,,,White,,,,,1,Male,0,2016,0101.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,55,Monroe County,,,,,,,,,2,Not a HOEPA loan,3,Not secured by a lien,2,Home improvement,1,Conventional,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000501105,0001790,36,NY,New York,68100,25,1663,1488,8.369999885559082,3799,,105.6500015258789
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,199,5,,,,,White,,,,,1,Male,0,2016,1118.01,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000008116,0002273,36,NY,New York,106200,400,2091,2018,15.010000228881836,6241,,90.16000366210938
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,151,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,1,Male,0,2016,1354.02,2,Not Hispanic or Latino,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,2,Female,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000451965,0105868,36,NY,New York,106200,540,2197,2002,13.09000015258789,6969,,117.30000305175781
4,Application withdrawn by applicant,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,140,3,,,,,Black or African American,,,,,2,Female,0,2016,0188.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,81,Queens County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,1768800000,0004077,36,NY,New York,72600,424,423,315,99.43000030517578,1236,,128.5800018310547
1,Loan originated,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,45,5,,,,,White,,,,,1,Male,0,2016,0309.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,53,Madison County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,2,Home improvement,1,Conventional,45060,Syracuse - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000001354,0001729,36,NY,New York,69200,140,756,504,17.309999465942383,4379,,143.64999389648438
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,44,5,,,,,White,,,,,2,Female,2,2016,0233.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,65,Oneida County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,46540,"Utica, Rome - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000451965,0924232,36,NY,New York,59600,100,1091,733,7.130000114440918,2694,,91.44000244140625
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,243,5,,,,,White,,,,,1,Male,0,2016,1580.06,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,0000008116,0000772,36,NY,New York,106200,350,2444,2323,17.329999923706055,6961,,124.48999786376953
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,83,2,,,,,Asian,,,,,1,Male,0,2016,4045.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,59,Nassau County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000852218,0065596,36,NY,New York,106200,446,1359,1203,20.700000762939453,4126,,102.06999969482422
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,102,3,,,,,Black or African American,,,,,1,Male,0,2016,1026.00,1,Hispanic or Latino,3,,,,,Black or African American,,,,,1,Male,47,Kings County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),11-3073502,0002154,36,NY,New York,72600,282,922,441,96.43000030517578,2771,,107.2699966430664
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,45,5,,,,,White,,,,,1,Male,0,2016,0126.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,67,Onondaga County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,45060,Syracuse - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000003025,0000567,36,NY,New York,69200,95,2074,1878,7.039999961853027,5425,,128.1699981689453
2,Application approved but not accepted,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,1416,5,,,,,White,,,,,1,Male,0,2016,0033.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,61,New York County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000852218,0372564,36,NY,New York,72600,1000,402,925,17.75,5156,,367.6099853515625
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,96,5,,,,,White,,,,,2,Female,0,2016,1466.15,1,Hispanic or Latino,5,,,,,White,,,,,1,Male,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000008116,0000097,36,NY,New York,106200,123,1031,964,17.989999771118164,5048,,93.0
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,142,5,,,,,White,,,,,1,Male,0,2016,4114.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,59,Nassau County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000451965,0397439,36,NY,New York,106200,518,1666,1582,16.299999237060547,6483,,115.54000091552734
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,20,2,,,,,Asian,,,,,2,Female,0,2016,0306.00,2,Not Hispanic or Latino,2,,,,,Asian,,,,,1,Male,81,Queens County,1,2,3,Debt-to-income ratio,Employment history,Credit history,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000852218,0066927,36,NY,New York,72600,230,1358,935,98.1500015258789,4213,,94.83000183105469
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,69,5,,,,,White,,,,,1,Male,0,2016,0118.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,55,Monroe County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",16-1566654,0001584,36,NY,New York,68100,157,2301,1657,6.639999866485596,5214,,115.2699966430664
1,Loan originated,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,24,5,,,,,White,,,,,2,Female,0,2016,4907.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,89,St. Lawrence County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,2,Home improvement,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000008531,0005634,36,NY,New York,58900,48,2793,1885,5.03000020980835,6177,,88.30000305175781
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,55,5,,,,,White,,,,,1,Male,0,2016,0707.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,113,Warren County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,24020,Glens Falls - NY,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),7811300008,0001732,36,NY,New York,64800,187,1218,915,5.170000076293945,3655,,104.37000274658203
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,1,Hispanic or Latino,108,5,,,,,White,,,,,1,Male,0,2016,4071.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,59,Nassau County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000451965,0496307,36,NY,New York,106200,200,1327,951,95.41000366210938,5181,,68.33999633789062
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,193,5,,,,,White,,,,,2,Female,0,2016,0031.00,2,Not Hispanic or Latino,3,,,,,Black or African American,,,,,1,Male,47,Kings County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000852218,0065808,36,NY,New York,72600,420,23,488,78.4800033569336,2472,,104.30999755859375
1,Loan originated,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,93,5,,,,,White,,,,,2,Female,0,2016,0124.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,55,Monroe County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,16-1237621,0001160,36,NY,New York,68100,236,1006,839,4.739999771118164,3017,,127.22000122070312
1,Loan originated,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,61,5,,,,,White,,,,,1,Male,0,2016,0004.02,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,21,Columbia County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000000929,0000054,36,NY,New York,58900,221,2430,1708,8.09000015258789,6142,,167.3800048828125
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,164,5,,,,,White,,,,,1,Male,0,2016,5201.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,59,Nassau County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,0000008116,0001952,36,NY,New York,106200,127,1724,1605,10.829999923706055,5524,,121.98999786376953
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,80,5,,,,,White,,,,,2,Female,0,2016,3036.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,59,Nassau County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000501105,0013094,36,NY,New York,106200,172,1948,1425,37.2599983215332,6911,,74.76000213623047
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,160,5,,,,,White,,,,,2,Female,0,2016,0293.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,5,Bronx County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0002735146,0031386,36,NY,New York,72600,300,51,633,25.549999237060547,1875,,205.27000427246094
1,Loan originated,2,FRS,Federal Reserve System,2,Not Hispanic or Latino,44,5,,,,,White,,,,,2,Female,0,2016,0312.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,51,Livingston County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,4,FSA/RHS-guaranteed,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",0002888798,0053781,36,NY,New York,68100,62,1678,1234,3.319999933242798,3948,,77.44999694824219
4,Application withdrawn by applicant,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2016,0030.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,55,Monroe County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,40380,Rochester - NY,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,46-3528270,0001272,36,NY,New York,68100,131,1037,221,30.979999542236328,1924,,75.79000091552734
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,105,5,,,,,White,,,,,1,Male,0,2016,5215.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,59,Nassau County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000008116,0000294,36,NY,New York,106200,200,1547,1455,7.730000019073486,4671,,126.81999969482422
4,Application withdrawn by applicant,2,FRS,Federal Reserve System,2,Not Hispanic or Latino,271,5,,,,,White,,,,,1,Male,0,2016,4063.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,59,Nassau County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000177957,0016995,36,NY,New York,106200,197,1293,1248,8.84000015258789,3811,,139.27999877929688
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,4,Not applicable,120,7,,,,,Not applicable,,,,,4,Not applicable,2,2016,0273.02,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,85,Richmond County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),13-3222578,0027528,36,NY,New York,72600,423,1268,993,30.84000015258789,3667,,136.42999267578125
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,49,5,,,,,White,,,,,1,Male,0,2016,0135.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,55,Monroe County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000656733,0009438,36,NY,New York,68100,134,2055,1978,7.519999980926514,5585,,133.5399932861328
1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,94,5,,,,,White,,,,,1,Male,0,2016,0372.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,13,Chautauqua County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000028178,0006623,36,NY,New York,58900,153,1414,1126,3.859999895095825,3520,,105.5999984741211
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,67,5,,,,,White,,,,,2,Female,0,2016,1478.02,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000008116,0001943,36,NY,New York,106200,295,1267,1115,7.25,3905,,119.05000305175781
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,4,Not applicable,61,7,,,,,Not applicable,,,,,4,Not applicable,2,2016,1595.05,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,2,FHA-insured,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),0000501105,0014652,36,NY,New York,106200,147,2707,2190,23.979999542236328,7998,,84.7699966430664
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,,3,,,,,Black or African American,,,,,2,Female,0,2016,0386.00,2,Not Hispanic or Latino,3,,,,,Black or African American,,,,,1,Male,5,Bronx County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),22-3039688,0251871,36,NY,New York,72600,357,1428,566,98.26000213623047,7409,,67.22000122070312
1,Loan originated,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,222,5,,,,,White,,,,,1,Male,0,2016,0502.02,1,Hispanic or Latino,5,,,,,White,,,,,2,Female,69,Ontario County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,16-1237621,0000459,36,NY,New York,68100,166,1922,1613,8.199999809265137,5633,,111.2300033569336
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,71,5,,,,,White,,,,,1,Male,0,2016,0108.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,119,Westchester County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),95-4623407,0022756,36,NY,New York,72600,180,1033,1120,35.529998779296875,3352,,166.94000244140625
1,Loan originated,5,NCUA,National Credit Union Administration,3,"Information not provided by applicant in mail, Internet, or telephone application",174,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2016,5178.01,3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",59,Nassau County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000004735,0005160,36,NY,New York,106200,100,1396,1133,9.979999542236328,3546,,156.3300018310547
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,58,5,,,,,White,,,,,1,Male,0,2016,4043.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,59,Nassau County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,2,Home improvement,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000112837,0021492,36,NY,New York,106200,185,1036,922,49.040000915527344,3391,,119.4000015258789
1,Loan originated,7,HUD,Department of Housing and Urban Development,1,Hispanic or Latino,166,5,,,,,White,,,,,1,Male,0,2016,1265.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,81,Queens County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",02-0594137,0002268,36,NY,New York,72600,552,536,358,74.04000091552734,1660,,112.19000244140625
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,28,5,,,,,White,,,,,1,Male,0,2016,0077.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,55,Monroe County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),38-2750395,0035597,36,NY,New York,68100,107,1114,729,23.299999237060547,2790,01.54,105.52999877929688
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,95,5,,,,,White,,,,,2,Female,0,2016,0209.02,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,75,Oswego County,,,,,,,,,2,Not a HOEPA loan,3,Not secured by a lien,2,Home improvement,1,Conventional,45060,Syracuse - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000280110,0012029,36,NY,New York,69200,41,2278,2030,3.640000104904175,6119,,97.2300033569336
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,70,2,,,,,Asian,,,,,1,Male,0,2016,5215.00,2,Not Hispanic or Latino,2,,,,,Asian,,,,,2,Female,59,Nassau County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,1,Preapproval was requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000004735,0005781,36,NY,New York,106200,270,1547,1455,7.730000019073486,4671,,126.81999969482422
